x,y,z,label_old,label,vox_num,index,module,index_module,index_node
5.1724,-38.2241,31.9914,CG_R_7_1,A23d_r,116,176,CG,18,2
-3,8.5091,25.8,CG_L_7_2,A24rv_l,55,177,CG,18,3
4.4815,22.1852,12.1111,CG_R_7_2,A24rv_r,81,178,CG,18,4
-5.1667,33.5714,20.5238,CG_L_7_3,A32p_l,126,179,CG,18,5
4.7328,27.569,27.7759,CG_R_7_3,A32p_r,116,180,CG,18,6
-8.7143,-47.3714,9.4286,CG_L_7_4,A23v_l,105,181,CG,18,7
8.2737,-44.6526,11.4947,CG_R_7_4,A23v_r,95,182,CG,18,8
-4.1897,6.1552,37.9138,CG_L_7_5,A24cd_l,116,183,CG,18,9
4.5,6.2143,38.4,CG_R_7_5,A24cd_r,70,184,CG,18,10
-7.0599,-22.7246,40.6707,CG_L_7_6,A23c_l,167,185,CG,18,11
6.375,-20.8026,40.6184,CG_R_7_6,A23c_r,152,186,CG,18,12
-4.0203,38.4518,-2.1777,CG_L_7_7,A32sg_l,197,187,CG,18,13
5.9,41.275,7.05,CG_R_7_7,A32sg_r,120,188,CG,18,14
-10.6552,-82.3862,-10.6966,MVOcC_L_5_1,cLinG_l,145,189,MVOcC,19,1
10.4268,-85.5549,-8.7805,MVOcC_R_5_1,cLinG_r,164,190,MVOcC,19,2
-4.729,-80.6107,10.729,MVOcC_L_5_2,rCunG_l,262,191,MVOcC,19,3
7.3745,-75.6932,10.8765,MVOcC_R_5_2,rCunG_r,251,192,MVOcC,19,4
-5.5246,-94.2787,0.85246,MVOcC_L_5_3,cCunG_l,183,193,MVOcC,19,5
8.6209,-90.1813,11.6209,MVOcC_R_5_3,cCunG_r,182,194,MVOcC,19,6
-16.8634,-60.4229,-6.5022,MVOcC_L_5_4,rLinG_l,227,195,MVOcC,19,7
18.8684,-59.4135,-7.094,MVOcC_R_5_4,rLinG_r,266,196,MVOcC,19,8
-13.0619,-68.1959,12.1856,MVOcC_L_5_5,vmPOS_l,291,197,MVOcC,19,9
14.7857,-63.5455,12.5357,MVOcC_R_5_5,vmPOS_r,308,198,MVOcC,19,10
-30.5177,-89.1637,11.0708,LOcC_L_4_1,mOccG_l,226,199,LOcC,20,1
34.3983,-85.8814,10.9576,LOcC_R_4_1,mOccG_r,236,200,LOcC,20,2
-45.5467,-73.72,2.48,LOcC_L_4_2,V5/MT/plus_l,225,201,LOcC,20,3
47.8745,-69.9791,-0.74059,LOcC_R_4_2,V5/MT/plus_r,239,202,LOcC,20,4
-17.7103,-99.2069,2.9069,LOcC_L_4_3,OPC_l,290,203,LOcC,20,5
22.3645,-96.9871,4.6452,LOcC_R_4_3,OPC_r,310,204,LOcC,20,6
-30.1787,-87.9687,-12.2633,LOcC_L_4_4,iOccG_l,319,205,LOcC,20,7
32.2338,-84.464,-11.2662,LOcC_R_4_4,iOccG_r,278,206,LOcC,20,8
-10.8503,-87.9701,30.3413,LOcC_L_2_1,msOccG_l,167,207,LOcC,20,9
16.4362,-84.8457,34.7713,LOcC_R_2_1,msOccG_r,188,208,LOcC,20,10
-21.9655,-77.4483,36.1379,LOcC_L_2_2,lsOccG_l,174,209,LOcC,20,11
28.7124,-74.1106,35.9071,LOcC_R_2_2,lsOccG_r,226,210,LOcC,20,12
-18.5714,-3.2857,-18.7857,Amyg_L_2_1,mAmyg_l,42,211,Amyg,21,1
19.2295,-2.4098,-18.6885,Amyg_R_2_1,mAmyg_r,61,212,Amyg,21,2
-27.375,-4,-19.875,Amyg_L_2_2,lAmyg_l,24,213,Amyg,21,3
27.9231,-3.3846,-19.8462,Amyg_R_2_2,lAmyg_r,39,214,Amyg,21,4
-22.4451,-12.9512,-19.5,Hipp_L_2_1,rHipp_l,164,215,Hipp,22,1
21.9149,-11.8511,-20.6383,Hipp_R_2_1,rHipp_r,141,216,Hipp,22,2
-27.4335,-30.0694,-9.8844,Hipp_L_2_2,cHipp_l,173,217,Hipp,22,3
28.8065,-27.7903,-9.5161,Hipp_R_2_2,cHipp_r,186,218,Hipp,22,4
-11.6364,14.6818,0.5,BG_L_6_1,vCa_l,132,219,BG,23,1
13.8065,14.4516,-2.129,BG_R_6_1,vCa_r,93,220,BG,23,2
-21.3409,-1.6023,3.1023,BG_L_6_2,GP_l,88,221,BG,23,3
21.75,-2.7391,2.6413,BG_R_6_2,GP_r,92,222,BG,23,4
-17.6061,3.1212,-9.4545,BG_L_6_3,NAC_l,99,223,BG,23,5
15.5197,7.0866,-9.3071,BG_R_6_3,NAC_r,127,224,BG,23,6
-22.4842,6.6947,-3.7895,BG_L_6_4,vmPu_l,95,225,BG,23,7
21.9324,8.0676,-1.5405,BG_R_6_4,vmPu_r,74,226,BG,23,8
-14.6792,2.6415,16.2453,BG_L_6_5,dCa_l,159,227,BG,23,9
13.9559,5.6471,14.1912,BG_R_6_5,dCa_r,204,228,BG,23,10
-28.2826,-5.1522,1.7174,BG_L_6_6,dlPu_l,138,229,BG,23,11
29.5594,-3.7552,1.7203,BG_R_6_6,dlPu_r,143,230,BG,23,12
-6.551,-11.1429,5.2653,Tha_L_8_1,mPFtha_l,49,231,Tha,24,1
7.5652,-10.7609,6.2609,Tha_R_8_1,mPFtha_r,46,232,Tha,24,2
-18.45,-12.9,3.75,Tha_L_8_2,mPMtha_l,40,233,Tha,24,3
12.84,-12.78,0.84,Tha_R_8_2,mPMtha_r,50,234,Tha,24,4
-17.9302,-22.6744,2.8605,Tha_L_8_3,Stha_l,43,235,Tha,24,5
17.8269,-21.5192,3.2885,Tha_R_8_3,Stha_r,52,236,Tha,24,6
-7.5263,-16.1053,6.5263,Tha_L_8_4,rTtha_l,57,237,Tha,24,7
2.2031,-12.2344,4.5469,Tha_R_8_4,rTtha_r,64,238,Tha,24,8
-16.875,-24.6094,6.4219,Tha_L_8_5,PPtha_l,64,239,Tha,24,9
16.5,-25.6667,6.3333,Tha_R_8_5,PPtha_r,72,240,Tha,24,10
-14.473,-27.7703,3.8919,Tha_L_8_6,Otha_l,74,241,Tha,24,11
12.5854,-26.7073,7.6829,Tha_R_8_6,Otha_r,41,242,Tha,24,12
-11.9455,-22.0364,13.0364,Tha_L_8_7,cTtha_l,55,243,Tha,24,13
9.6383,-14.4894,14.234,Tha_R_8_7,cTtha_r,47,244,Tha,24,14
-11.3659,-14.4146,2.6098,Tha_L_8_8,lPFtha_l,123,245,Tha,24,15
12.3462,-15.0769,7.1923,Tha_R_8_8,lPFtha_r,78,246,Tha,24,16
-6.7135,-44.4811,-16.9622,Cerebellum_Left_I-IV,Cerebellum_Left_I-IV,185,247,Cerebellum,25,1
10.541,-42.7541,-18.6721,Cerebellum_Right_I-IV,Cerebellum_Right_I-IV,183,248,Cerebellum,25,2
-12.4605,-50.0512,-18.2512,Cerebellum_Left_V,Cerebellum_Left_V,215,249,Cerebellum,25,3
13.9468,-50.8404,-18.5585,Cerebellum_Right_V,Cerebellum_Right_V,188,250,Cerebellum,25,4
-22.2946,-58.1017,-24.7656,Cerebellum_Left_VI,Cerebellum_Left_VI,482,251,Cerebellum,25,5
1.0734,-69.6606,-21.2202,Cerebellum_Vermis_VI,Cerebellum_Vermis_VI,109,252,Cerebellum,25,6
23.7219,-55.9129,-25.0112,Cerebellum_Right_VI,Cerebellum_Right_VI,356,253,Cerebellum,25,7
-36.6273,-68.1182,-31.1182,Cerebellum_Left_Crus_I,Cerebellum_Left_Crus_I,660,254,Cerebellum,25,8
36.6337,-67.3317,-30.7697,Cerebellum_Right_Crus_I,Cerebellum_Right_Crus_I,838,256,Cerebellum,25,9
-26.4967,-74.176,-41.5313,Cerebellum_Left_Crus_II,Cerebellum_Left_Crus_II,608,257,Cerebellum,25,10
0.33333,-75,-31.1111,Cerebellum_Vermis_Crus_II,Cerebellum_Vermis_Crus_II,27,258,Cerebellum,25,11
26.625,-75.5942,-41.1231,Cerebellum_Right_Crus_II,Cerebellum_Right_Crus_II,520,259,Cerebellum,25,12
-25.9872,-66.7692,-51.141,Cerebellum_Left_VIIb,Cerebellum_Left_VIIb,234,260,Cerebellum,25,13
0,-67.5,-30,Cerebellum_Vermis_VIIb,Cerebellum_Vermis_VIIb,6,261,Cerebellum,25,14
28.9091,-65.6206,-50.9881,Cerebellum_Right_VIIb,Cerebellum_Right_VIIb,253,262,Cerebellum,25,15
-24.2271,-57.5498,-53.0438,Cerebellum_Left_VIIIa,Cerebellum_Left_VIIIa,251,263,Cerebellum,25,16
0.09375,-67.5469,-37.8281,Cerebellum_Vermis_VIIIa,Cerebellum_Vermis_VIIIa,64,264,Cerebellum,25,17
25.3882,-58.5059,-53.1412,Cerebellum_Right_VIIIa,Cerebellum_Right_VIIIa,255,265,Cerebellum,25,18
-16.7619,-50.8413,-54.9841,Cerebellum_Left_VIIIb,Cerebellum_Left_VIIIb,189,266,Cerebellum,25,19
-0.15385,-63.7692,-42.4615,Cerebellum_Vermis_VIIIb,Cerebellum_Vermis_VIIIb,39,267,Cerebellum,25,20
17.8939,-51.1515,-55.1364,Cerebellum_Right_VIIIb,Cerebellum_Right_VIIIb,198,268,Cerebellum,25,21
-6.7843,-53.4118,-48.1765,Cerebellum_Left_IX,Cerebellum_Left_IX,153,269,Cerebellum,25,22
-0.26471,-55.2353,-37.8529,Cerebellum_Vermis_IX,Cerebellum_Vermis_IX,34,270,Cerebellum,25,23
6.825,-53.235,-48.675,Cerebellum_Right_IX,Cerebellum_Right_IX,200,271,Cerebellum,25,24
-20.8462,-37,-45.5385,Cerebellum_Left_X,Cerebellum_Left_X,39,272,Cerebellum,25,25
0.85714,-47.5714,-35.7857,Cerebellum_Vermis_X,Cerebellum_Vermis_X,14,273,Cerebellum,25,26
22.3256,-37.2558,-45.6279,Cerebellum_Right_X,Cerebellum_Right_X,43,274,Cerebellum,25,27
